Dataset,Element,Region,Sub-region,Year,Millions of metric tons
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2022,507.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2032,654.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Central Africa,2022,8.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Central Africa,2032,12.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and South Asia,2022,352.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and South Asia,2032,461.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2022,19.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2032,24.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,East Africa,2022,49.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,East Africa,2032,76.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2022,721.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2032,961.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,24.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,30.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,North Africa,"North Africa, Total",2022,46.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,North Africa,"North Africa, Total",2032,61.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Other Asia,2022,9.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Other Asia,2032,12.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Southeast Asia,2022,126.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Southeast Asia,2032,156.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Southern Africa,2022,19.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,Southern Africa,2032,28.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,142.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2032,214.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,West Africa,2022,65.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Sub-Saharan Africa,West Africa,2032,97.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2022,173.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2032,207.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Central Africa,2022,7.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Central Africa,2032,9.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and South Asia,2022,80.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and South Asia,2032,105.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2022,26.9
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2032,30.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,East Africa,2022,20.6
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,East Africa,2032,25.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2022,327.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2032,387.0
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2022,22.4
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Latin America and the Caribbean,"Latin America and the Caribbean, Total",2032,26.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,North Africa,"North Africa, Total",2022,43.1
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,North Africa,"North Africa, Total",2032,51.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Other Asia,2022,2.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Other Asia,2032,2.7
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Southeast Asia,2022,53.5
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Southeast Asia,2032,57.8
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Southern Africa,2022,15.3
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,Southern Africa,2032,17.2
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Sub-Saharan Africa,"Sub-Saharan Africa, Total",2022,81.3
